ymd,pref,pref_sub,area,temperature,humidity,hukai_index
2018/1/1,aichi,愛知,名古屋,4.8,77.0,42.83604
2018/1/2,aichi,愛知,名古屋,5.0,70.0,43.80499999999999
2018/1/3,aichi,愛知,名古屋,3.7,63.0,42.59569
2018/1/4,aichi,愛知,名古屋,3.1,59.0,42.184709999999995
2018/1/5,aichi,愛知,名古屋,3.4,62.0,42.274919999999995
2018/1/6,aichi,愛知,名古屋,3.8,64.0,42.63368
2018/1/7,aichi,愛知,名古屋,5.3,47.0,46.338089999999994
2018/1/8,aichi,愛知,名古屋,5.3,83.0,43.07901
2018/1/9,aichi,愛知,名古屋,6.5,73.0,45.82355
2018/1/10,aichi,愛知,名古屋,4.5,58.0,44.234899999999996
2018/1/11,aichi,愛知,名古屋,2.6,41.0,43.59833999999999
2018/1/12,aichi,愛知,名古屋,0.7,55.0,39.38314999999999
2018/1/13,aichi,愛知,名古屋,1.3,70.0,38.2439
2018/1/14,aichi,愛知,名古屋,2.8,58.0,41.88176
2018/1/15,aichi,愛知,名古屋,5.0,60.0,44.739999999999995
2018/1/16,aichi,愛知,名古屋,7.7,67.0,48.06341
2018/1/17,aichi,愛知,名古屋,8.8,91.0,48.34292
2018/1/18,aichi,愛知,名古屋,9.9,66.0,51.34966
2018/1/19,aichi,愛知,名古屋,8.0,48.0,49.7176
2018/1/20,aichi,愛知,名古屋,6.3,61.0,46.48457
2018/1/21,aichi,愛知,名古屋,6.3,59.0,46.64583
2018/1/22,aichi,愛知,名古屋,3.6,75.0,41.164
2018/1/23,aichi,愛知,名古屋,3.7,69.0,41.95747
2018/1/24,aichi,愛知,名古屋,0.2,56.0,38.564879999999995
2018/1/25,aichi,愛知,名古屋,-1.1,58.0,36.48338
2018/1/26,aichi,愛知,名古屋,-0.5,66.0,36.1303
2018/1/27,aichi,愛知,名古屋,0.3,57.0,38.56129
2018/1/28,aichi,愛知,名古屋,0.0,68.0,36.57599999999999
2018/1/29,aichi,愛知,名古屋,2.6,72.0,39.96328
2018/1/30,aichi,愛知,名古屋,2.1,66.0,39.93514
2018/1/31,aichi,愛知,名古屋,3.1,60.0,42.072399999999995
2018/2/1,aichi,愛知,名古屋,3.8,72.0,41.790639999999996
2018/2/2,aichi,愛知,名古屋,5.0,77.0,43.150499999999994
2018/2/3,aichi,愛知,名古屋,5.1,66.0,44.32534
2018/2/4,aichi,愛知,名古屋,3.6,50.0,43.848
2018/2/5,aichi,愛知,名古屋,2.1,56.0,41.157239999999994
2018/2/6,aichi,愛知,名古屋,1.1,39.0,42.038709999999995
2018/2/7,aichi,愛知,名古屋,0.8,52.0,39.92384
2018/2/8,aichi,愛知,名古屋,1.5,61.0,39.697849999999995
2018/2/9,aichi,愛知,名古屋,3.0,48.0,43.291599999999995
2018/2/10,aichi,愛知,名古屋,4.3,65.0,43.25505
2018/2/11,aichi,愛知,名古屋,4.4,68.0,43.102079999999994
2018/2/12,aichi,愛知,名古屋,2.3,46.0,42.632419999999996
2018/2/13,aichi,愛知,名古屋,2.4,52.0,42.043519999999994
2018/2/14,aichi,愛知,名古屋,3.9,54.0,43.82194
2018/2/15,aichi,愛知,名古屋,6.8,55.0,47.645599999999995
2018/2/16,aichi,愛知,名古屋,6.4,41.0,48.218759999999996
2018/2/17,aichi,愛知,名古屋,4.0,60.0,43.336
2018/2/18,aichi,愛知,名古屋,2.5,45.0,43.00375
